optimizer,epoch_or_step,total_loss,pde_loss,pde_loss_continuity,pde_loss_momentum_x,pde_loss_momentum_y,bc_loss,ic_loss
Adam,1000,0.48743051290512085,0.06646793335676193,0.06397330015897751,0.0019650794565677643,0.0005295469309203327,0.3483482599258423,0.07261431962251663
Adam,2000,0.4832276403903961,0.07103050500154495,0.06746122241020203,0.002909744158387184,0.0006595396553166211,0.35682326555252075,0.05537388101220131
Adam,3000,0.45706823468208313,0.06680981069803238,0.06319013237953186,0.00277827144600451,0.0008414118783548474,0.3244820237159729,0.06577640771865845
Adam,4000,0.44966158270835876,0.06824196875095367,0.063767209649086,0.0035659801214933395,0.0009087770013138652,0.31909769773483276,0.06232193484902382
Adam,5000,0.43764612078666687,0.0656227394938469,0.061207909137010574,0.003412700491026044,0.001002135337330401,0.31270626187324524,0.05931711941957474
Adam,6000,0.45671433210372925,0.06866736710071564,0.04667963087558746,0.019092580303549767,0.002895151497796178,0.3306410312652588,0.057405952364206314
Adam,7000,0.3968546390533447,0.053934574127197266,0.04579097405076027,0.006624265108257532,0.0015193328727036715,0.2794853448867798,0.06343470513820648
Adam,8000,0.3431317210197449,0.050260841846466064,0.04497629404067993,0.00398900406435132,0.00129554548766464,0.24669437110424042,0.04617650434374809
Adam,9000,0.3106316030025482,0.047304436564445496,0.041446439921855927,0.004044835455715656,0.0018131629331037402,0.2237764596939087,0.03955069184303284
Adam,10000,0.2930833399295807,0.04285712540149689,0.03752244636416435,0.0036448680330067873,0.001689812052063644,0.2132074236869812,0.037018802016973495
Adam,11000,0.2775629460811615,0.03756805136799812,0.03311992064118385,0.0030796213541179895,0.0013685089070349932,0.20536872744560242,0.034626174718141556
Adam,12000,0.29794445633888245,0.05955136939883232,0.030467228963971138,0.027629485353827477,0.0014546546153724194,0.20410922169685364,0.034283868968486786
Adam,13000,0.2631431221961975,0.03323420137166977,0.026010824367403984,0.004240799229592085,0.0029825775418430567,0.19891615211963654,0.03099278174340725
Adam,14000,0.25776270031929016,0.03777078166604042,0.02565217763185501,0.01081707701086998,0.0013015271397307515,0.19013680517673492,0.029855109751224518
Adam,15000,0.2666603624820709,0.047242421656847,0.02420896850526333,0.017508691176772118,0.005524761974811554,0.1845940500497818,0.03482390567660332
