#{"t_start": 1748181811.411714, "env_id": "None"}
r,l,t
-0.000224,20,35.554425
-0.000224,20,35.574456
-0.000224,20,35.593983
-0.000224,20,35.614007
-0.000224,20,35.635033
-2.7e-05,20,74.61119
-2.7e-05,20,74.630313
-2.7e-05,20,74.646325
-2.7e-05,20,74.663836
-2.7e-05,20,74.692369
-0.000119,20,113.499133
-0.000119,20,113.51616
-0.000119,20,113.536185
-0.000119,20,113.555208
-0.000119,20,113.571229
-4e-06,20,153.191027
-4e-06,20,153.209628
-4e-06,20,153.228653
-4e-06,20,153.246674
-4e-06,20,153.26369
