#{"t_start": 1748268704.6290283, "env_id": "None"}
r,l,t
-256.530641,200,1.074935
-296.716597,200,1.258418
-328.961134,200,1.433999
-215.250435,200,1.609297
-182.221447,200,1.782318
-332.980347,200,2.529313
-186.434333,200,2.694104
-225.004299,200,2.862669
-230.405408,200,3.032152
-304.315146,200,3.201956
-178.258935,200,3.816351
-161.19004,200,3.983068
-150.777545,200,4.152201
-241.422852,200,4.325316
-179.661135,200,4.493911
-190.185958,200,5.110149
-203.0717,200,5.274081
-179.757107,200,5.442158
-179.335959,200,5.608175
-195.737893,200,5.79623
-148.772971,200,6.406472
-159.305597,200,6.580194
-185.187765,200,6.750839
-166.830105,200,6.924911
-144.157673,200,7.106049
-178.035653,200,8.381278
-115.770651,200,8.585742
-137.51344,200,8.790611
-148.212187,200,8.991738
-156.376416,200,9.181191
-169.296958,200,9.907481
